uid,grid_id,year,month,date,pr_mm
"[1.0, 2016, 01]",1.0,2016,1.0,2016-01,58.66458170445661
"[1.0, 2016, 02]",1.0,2016,2.0,2016-02,52.667709147771696
"[1.0, 2016, 03]",1.0,2016,3.0,2016-03,87.55433932759969
"[1.0, 2016, 04]",1.0,2016,4.0,2016-04,58.87646598905395
"[1.0, 2016, 05]",1.0,2016,5.0,2016-05,12.272087568412822
"[1.0, 2016, 06]",1.0,2016,6.0,2016-06,42.53792025019546
"[1.0, 2016, 07]",1.0,2016,7.0,2016-07,9.537920250195464
"[1.0, 2016, 08]",1.0,2016,8.0,2016-08,4.268960125097733
"[1.0, 2016, 09]",1.0,2016,9.0,2016-09,1.0
"[1.0, 2016, 10]",1.0,2016,10.0,2016-10,42.68021892103206
"[1.0, 2016, 11]",1.0,2016,11.0,2016-11,80.83580922595779
"[1.0, 2016, 12]",1.0,2016,12.0,2016-12,161.5793588741204
"[2.0, 2016, 01]",2.0,2016,1.0,2016-01,132.0891719745223
"[2.0, 2016, 02]",2.0,2016,2.0,2016-02,56.7125796178344
"[2.0, 2016, 03]",2.0,2016,3.0,2016-03,155.43789808917197
"[2.0, 2016, 04]",2.0,2016,4.0,2016-04,107.38196656050954
"[2.0, 2016, 05]",2.0,2016,5.0,2016-05,32.49442675159236
"[2.0, 2016, 06]",2.0,2016,6.0,2016-06,63.53941082802547
"[2.0, 2016, 07]",2.0,2016,7.0,2016-07,33.24363057324841
"[2.0, 2016, 08]",2.0,2016,8.0,2016-08,7.938495222929936
"[2.0, 2016, 09]",2.0,2016,9.0,2016-09,0.919984076433121
"[2.0, 2016, 10]",2.0,2016,10.0,2016-10,17.229498407643312
"[2.0, 2016, 11]",2.0,2016,11.0,2016-11,51.885549363057315
"[2.0, 2016, 12]",2.0,2016,12.0,2016-12,131.9769108280255
"[3.0, 2016, 01]",3.0,2016,1.0,2016-01,177.7805878332194
"[3.0, 2016, 02]",3.0,2016,2.0,2016-02,65.61107313738893
"[3.0, 2016, 03]",3.0,2016,3.0,2016-03,165.2535885167464
"[3.0, 2016, 04]",3.0,2016,4.0,2016-04,135.1989063568011
"[3.0, 2016, 05]",3.0,2016,5.0,2016-05,34.85030758714969
"[3.0, 2016, 06]",3.0,2016,6.0,2016-06,52.76555023923446
"[3.0, 2016, 07]",3.0,2016,7.0,2016-07,65.09364319890636
"[3.0, 2016, 08]",3.0,2016,8.0,2016-08,7.9419002050581
"[3.0, 2016, 09]",3.0,2016,9.0,2016-09,0.0
"[3.0, 2016, 10]",3.0,2016,10.0,2016-10,17.510594668489407
"[3.0, 2016, 11]",3.0,2016,11.0,2016-11,62.63226247436774
"[3.0, 2016, 12]",3.0,2016,12.0,2016-12,135.0334928229665
"[4.0, 2016, 01]",4.0,2016,1.0,2016-01,212.573732718894
