uid,grid_id,year,month,date,pr_mm
"[1.0, 2020, 01]",1.0,2020,1.0,2020-01,239.7983870967742
"[1.0, 2020, 02]",1.0,2020,2.0,2020-02,89.21700879765396
"[1.0, 2020, 03]",1.0,2020,3.0,2020-03,35.49560117302053
"[1.0, 2020, 04]",1.0,2020,4.0,2020-04,46.118768328445746
"[1.0, 2020, 05]",1.0,2020,5.0,2020-05,5.940615835777126
"[1.0, 2020, 06]",1.0,2020,6.0,2020-06,22.45674486803519
"[1.0, 2020, 07]",1.0,2020,7.0,2020-07,12.014662756598241
"[1.0, 2020, 08]",1.0,2020,8.0,2020-08,7.931818181818182
"[1.0, 2020, 09]",1.0,2020,9.0,2020-09,10.498533724340176
"[1.0, 2020, 10]",1.0,2020,10.0,2020-10,30.688416422287393
"[1.0, 2020, 11]",1.0,2020,11.0,2020-11,27.863636363636363
"[1.0, 2020, 12]",1.0,2020,12.0,2020-12,287.43768328445753
"[2.0, 2020, 01]",2.0,2020,1.0,2020-01,290.59329418450466
"[2.0, 2020, 02]",2.0,2020,2.0,2020-02,94.98579276378102
"[2.0, 2020, 03]",2.0,2020,3.0,2020-03,58.86474711119529
"[2.0, 2020, 04]",2.0,2020,4.0,2020-04,69.29816253078235
"[2.0, 2020, 05]",2.0,2020,5.0,2020-05,20.95624171244554
"[2.0, 2020, 06]",2.0,2020,6.0,2020-06,67.57586664140936
"[2.0, 2020, 07]",2.0,2020,7.0,2020-07,38.12786512597083
"[2.0, 2020, 08]",2.0,2020,8.0,2020-08,21.65618488350066
"[2.0, 2020, 09]",2.0,2020,9.0,2020-09,12.206667929532108
"[2.0, 2020, 10]",2.0,2020,10.0,2020-10,4.253646523962872
"[2.0, 2020, 11]",2.0,2020,11.0,2020-11,15.89107785565448
"[2.0, 2020, 12]",2.0,2020,12.0,2020-12,174.73801856412197
"[3.0, 2020, 01]",3.0,2020,1.0,2020-01,340.75324675324674
"[3.0, 2020, 02]",3.0,2020,2.0,2020-02,102.85919343814082
