uid,grid_id,year,month,date,pr_mm
"[1.0, 2018, 01]",1.0,2018,1.0,2018-01,36.329856584093875
"[1.0, 2018, 02]",1.0,2018,2.0,2018-02,333.58018252933505
"[1.0, 2018, 03]",1.0,2018,3.0,2018-03,103.79204693611473
"[1.0, 2018, 04]",1.0,2018,4.0,2018-04,51.226857887874836
"[1.0, 2018, 05]",1.0,2018,5.0,2018-05,15.670143415906129
"[1.0, 2018, 06]",1.0,2018,6.0,2018-06,15.617340286831814
"[1.0, 2018, 07]",1.0,2018,7.0,2018-07,42.96023468057366
"[1.0, 2018, 08]",1.0,2018,8.0,2018-08,3.0
"[1.0, 2018, 09]",1.0,2018,9.0,2018-09,12.720338983050848
"[1.0, 2018, 10]",1.0,2018,10.0,2018-10,16.17405475880052
"[1.0, 2018, 11]",1.0,2018,11.0,2018-11,60.14015645371578
"[1.0, 2018, 12]",1.0,2018,12.0,2018-12,87.21642764015645
"[2.0, 2018, 01]",2.0,2018,1.0,2018-01,106.89581360106082
"[2.0, 2018, 02]",2.0,2018,2.0,2018-02,182.47490054934644
"[2.0, 2018, 03]",2.0,2018,3.0,2018-03,173.89979162720212
"[2.0, 2018, 04]",2.0,2018,4.0,2018-04,138.57832922902062
"[2.0, 2018, 05]",2.0,2018,5.0,2018-05,20.388899412767568
"[2.0, 2018, 06]",2.0,2018,6.0,2018-06,37.733282818715665
"[2.0, 2018, 07]",2.0,2018,7.0,2018-07,133.3964766054177
"[2.0, 2018, 08]",2.0,2018,8.0,2018-08,3.83330176169729
"[2.0, 2018, 09]",2.0,2018,9.0,2018-09,7.585716991854518
"[2.0, 2018, 10]",2.0,2018,10.0,2018-10,11.1231293805645
"[2.0, 2018, 11]",2.0,2018,11.0,2018-11,67.81208562227695
"[2.0, 2018, 12]",2.0,2018,12.0,2018-12,91.96021973858684
"[3.0, 2018, 01]",3.0,2018,1.0,2018-01,153.09883720930233
"[3.0, 2018, 02]",3.0,2018,2.0,2018-02,186.80878552971578
"[3.0, 2018, 03]",3.0,2018,3.0,2018-03,178.36434108527132
"[3.0, 2018, 04]",3.0,2018,4.0,2018-04,180.4857881136951
"[3.0, 2018, 05]",3.0,2018,5.0,2018-05,20.395994832041342
"[3.0, 2018, 06]",3.0,2018,6.0,2018-06,44.12144702842377
"[3.0, 2018, 07]",3.0,2018,7.0,2018-07,203.47803617571063
"[3.0, 2018, 08]",3.0,2018,8.0,2018-08,2.945090439276486
"[3.0, 2018, 09]",3.0,2018,9.0,2018-09,7.890180878552972
"[3.0, 2018, 10]",3.0,2018,10.0,2018-10,15.228036175710594
"[3.0, 2018, 11]",3.0,2018,11.0,2018-11,97.27002583979329
"[3.0, 2018, 12]",3.0,2018,12.0,2018-12,112.44121447028424
"[4.0, 2018, 01]",4.0,2018,1.0,2018-01,217.2736176935229
"[4.0, 2018, 02]",4.0,2018,2.0,2018-02,178.11406003159556
"[4.0, 2018, 03]",4.0,2018,3.0,2018-03,139.76714060031594
"[4.0, 2018, 04]",4.0,2018,4.0,2018-04,18.86698262243286
"[4.0, 2018, 05]",4.0,2018,5.0,2018-05,11.236966824644549
"[4.0, 2018, 06]",4.0,2018,6.0,2018-06,2.5345971563981045
"[4.0, 2018, 07]",4.0,2018,7.0,2018-07,3.523222748815166
"[4.0, 2018, 08]",4.0,2018,8.0,2018-08,0.0
"[4.0, 2018, 09]",4.0,2018,9.0,2018-09,2.3222748815165875
"[4.0, 2018, 10]",4.0,2018,10.0,2018-10,13.83222748815166
"[4.0, 2018, 11]",4.0,2018,11.0,2018-11,53.421169036334916
"[4.0, 2018, 12]",4.0,2018,12.0,2018-12,105.84107424960506
"[5.0, 2018, 01]",5.0,2018,1.0,2018-01,770.5351704133429
"[5.0, 2018, 02]",5.0,2018,2.0,2018-02,377.087744742567
"[5.0, 2018, 03]",5.0,2018,3.0,2018-03,298.68944887599713
"[5.0, 2018, 04]",5.0,2018,4.0,2018-04,39.10387962291515
"[5.0, 2018, 05]",5.0,2018,5.0,2018-05,0.0
"[5.0, 2018, 06]",5.0,2018,6.0,2018-06,0.0
"[5.0, 2018, 07]",5.0,2018,7.0,2018-07,0.0
"[5.0, 2018, 08]",5.0,2018,8.0,2018-08,0.0
"[5.0, 2018, 09]",5.0,2018,9.0,2018-09,33.9218636693256
"[5.0, 2018, 10]",5.0,2018,10.0,2018-10,35.428390137780994
"[5.0, 2018, 11]",5.0,2018,11.0,2018-11,212.95812182741113
"[5.0, 2018, 12]",5.0,2018,12.0,2018-12,71.77447425670775
"[6.0, 2018, 01]",6.0,2018,1.0,2018-01,746.875
"[6.0, 2018, 02]",6.0,2018,2.0,2018-02,365.125
"[6.0, 2018, 03]",6.0,2018,3.0,2018-03,294.0625
"[6.0, 2018, 04]",6.0,2018,4.0,2018-04,41.0625
"[6.0, 2018, 05]",6.0,2018,5.0,2018-05,0.0
"[6.0, 2018, 06]",6.0,2018,6.0,2018-06,0.0
"[6.0, 2018, 07]",6.0,2018,7.0,2018-07,0.0
"[6.0, 2018, 08]",6.0,2018,8.0,2018-08,0.0
"[6.0, 2018, 09]",6.0,2018,9.0,2018-09,19.375
"[6.0, 2018, 10]",6.0,2018,10.0,2018-10,24.125
"[6.0, 2018, 11]",6.0,2018,11.0,2018-11,180.0625
"[6.0, 2018, 12]",6.0,2018,12.0,2018-12,67.875
"[7.0, 2018, 01]",7.0,2018,1.0,2018-01,467.6493791088385
"[7.0, 2018, 02]",7.0,2018,2.0,2018-02,492.36559532505476
"[7.0, 2018, 03]",7.0,2018,3.0,2018-03,687.2308254200145
"[7.0, 2018, 04]",7.0,2018,4.0,2018-04,482.03579254930605
"[7.0, 2018, 05]",7.0,2018,5.0,2018-05,542.8221329437546
"[7.0, 2018, 06]",7.0,2018,6.0,2018-06,272.63294375456536
"[7.0, 2018, 07]",7.0,2018,7.0,2018-07,220.08728999269536
