uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[1.0, 1996, 01]",1.0,1996,1.0,27.312978889757627,31.358874120406572,23.267083659108685
"[1.0, 1996, 02]",1.0,1996,2.0,27.179749804534797,30.95918686473808,23.400312744331508
"[1.0, 1996, 03]",1.0,1996,3.0,26.19984362783424,30.54620797498046,21.853479280688042
"[1.0, 1996, 04]",1.0,1996,4.0,24.029906176700553,28.573103987490228,19.48670836591087
"[1.0, 1996, 05]",1.0,1996,5.0,22.83623924941361,28.032916340891322,17.639562157935885
"[1.0, 1996, 06]",1.0,1996,6.0,20.389718530101643,26.23322908522283,14.546207974980451
"[1.0, 1996, 07]",1.0,1996,7.0,19.926270523846757,25.88608287724786,13.96645817044566
"[1.0, 1996, 08]",1.0,1996,8.0,21.412978889757625,26.92595777951525,15.900000000000002
"[1.0, 1996, 09]",1.0,1996,9.0,23.253010164190776,28.719311962470677,17.78670836591087
"[1.0, 1996, 10]",1.0,1996,10.0,25.0598123534011,30.266145426114154,19.853479280688042
"[1.0, 1996, 11]",1.0,1996,11.0,27.159499609069584,31.758561376075054,22.560437842064115
"[1.0, 1996, 12]",1.0,1996,12.0,27.056489444878814,31.372165754495704,22.740813135261924
"[2.0, 1996, 01]",2.0,1996,1.0,27.86959651449138,31.831824209130517,23.90736881985225
"[2.0, 1996, 02]",2.0,1996,2.0,28.186503125591972,31.71291911346846,24.660087137715475
"[2.0, 1996, 03]",2.0,1996,3.0,27.007700322030686,30.639249857927645,23.376150786133735
"[2.0, 1996, 04]",2.0,1996,4.0,25.279390035991664,29.181284334154196,21.377495737829133
"[2.0, 1996, 05]",2.0,1996,5.0,24.39444970638378,28.729645766243603,20.05925364652396
"[2.0, 1996, 06]",2.0,1996,6.0,21.898285660162905,26.744326577003218,17.052244743322596
"[2.0, 1996, 07]",2.0,1996,7.0,21.553296078802802,26.239306686872514,16.867285470733094
"[2.0, 1996, 08]",2.0,1996,8.0,22.93330176169729,27.455427164235655,18.411176359158937
"[2.0, 1996, 09]",2.0,1996,9.0,24.34414661867778,29.1018753551809,19.586417882174654
"[2.0, 1996, 10]",2.0,1996,10.0,26.288245879901496,31.224682705057774,21.351809054745218
"[2.0, 1996, 11]",2.0,1996,11.0,28.357359348361435,32.89838984656184,23.816328850161014
"[2.0, 1996, 12]",2.0,1996,12.0,27.723015722674756,31.844932752415232,23.60109869293427
"[3.0, 1996, 01]",3.0,1996,1.0,27.991641151255365,32.48518064911208,23.49810165339865
"[3.0, 1996, 02]",3.0,1996,2.0,27.991243110838948,31.67397428046541,24.308511941212497
"[3.0, 1996, 03]",3.0,1996,3.0,27.01751377832211,30.806001224739738,23.229026331904475
"[3.0, 1996, 04]",3.0,1996,4.0,25.20985915492957,29.167666870789958,21.2520514390692
"[3.0, 1996, 05]",3.0,1996,5.0,24.135639926515616,28.47728107777097,19.793998775260256
"[3.0, 1996, 06]",3.0,1996,6.0,21.635241886099205,26.53784445805266,16.732639314145747
"[3.0, 1996, 07]",3.0,1996,7.0,21.214421310471526,26.021126760563373,16.40771586037967
"[3.0, 1996, 08]",3.0,1996,8.0,22.78879363135334,27.477281077770968,18.1003061849357
"[3.0, 1996, 09]",3.0,1996,9.0,24.441641151255357,29.989283527250464,18.893998775260254
"[3.0, 1996, 10]",3.0,1996,10.0,26.268218003674225,31.890385793018993,20.646050214329456
"[3.0, 1996, 11]",3.0,1996,11.0,28.724923453766078,33.83612982241274,23.613717085119415
"[3.0, 1996, 12]",3.0,1996,12.0,27.815615431720772,32.40189834660135,23.229332516840174
"[4.0, 1996, 01]",4.0,1996,1.0,31.3943927256982,36.81223208486685,25.976553366529554
"[4.0, 1996, 02]",4.0,1996,2.0,30.62929205455726,36.540376704914486,24.71820740420005
"[4.0, 1996, 03]",4.0,1996,3.0,29.482907555747996,34.85005412426932,24.11576098722668
"[4.0, 1996, 04]",4.0,1996,4.0,28.293840658151115,33.18417406365013,23.403507252652094
"[4.0, 1996, 05]",4.0,1996,5.0,25.19376488417406,31.34156743883958,19.04596232950855
"[4.0, 1996, 06]",4.0,1996,6.0,25.350930937432356,31.322364148084002,19.379497726780688
"[4.0, 1996, 07]",4.0,1996,7.0,23.678859060402683,30.41623728079671,16.941480840008662
"[4.0, 1996, 08]",4.0,1996,8.0,26.07354405715523,32.15518510500109,19.991903009309375
"[4.0, 1996, 09]",4.0,1996,9.0,28.022515696038106,35.12446416973372,20.9205672223425
"[4.0, 1996, 10]",4.0,1996,10.0,31.027267806884613,37.02920545572635,25.025330158042866
"[4.0, 1996, 11]",4.0,1996,11.0,31.61130114743451,37.67605542325179,25.546546871617235
"[4.0, 1996, 12]",4.0,1996,12.0,30.129086382333846,34.70982896730894,25.548343797358736
"[5.0, 1996, 01]",5.0,1996,1.0,28.907079405366208,33.05179477882523,24.762364031907182
"[5.0, 1996, 02]",5.0,1996,2.0,28.742267947788257,32.83038433647572,24.654151559100793
"[5.0, 1996, 03]",5.0,1996,3.0,28.062218999274833,32.493401015228415,23.631036983321245
"[5.0, 1996, 04]",5.0,1996,4.0,27.732831762146482,32.50132342277012,22.96434010152284
"[5.0, 1996, 05]",5.0,1996,5.0,26.071464829586663,32.12019579405367,20.022733865119655
"[5.0, 1996, 06]",5.0,1996,6.0,26.060614575779546,32.48424583031182,19.636983321247282
"[5.0, 1996, 07]",5.0,1996,7.0,24.321600797679476,31.286693255982595,17.35650833937636
"[5.0, 1996, 08]",5.0,1996,8.0,25.73409173313995,32.054423495286436,19.413759970993475
"[5.0, 1996, 09]",5.0,1996,9.0,27.313388324873095,33.72791878172588,20.898857868020304
"[5.0, 1996, 10]",5.0,1996,10.0,29.018391950688905,34.41395939086295,23.622824510514867
"[5.0, 1996, 11]",5.0,1996,11.0,29.355139593908632,34.52547135605511,24.184807831762143
"[5.0, 1996, 12]",5.0,1996,12.0,28.060895576504713,32.28386511965192,23.837926033357498
"[6.0, 1996, 01]",6.0,1996,1.0,28.790625000000006,32.95625,24.625
"[6.0, 1996, 02]",6.0,1996,2.0,28.606250000000006,32.643750000000004,24.56875
"[6.0, 1996, 03]",6.0,1996,3.0,28.0375,32.38125,23.693749999999998
"[6.0, 1996, 04]",6.0,1996,4.0,27.575000000000003,32.212500000000006,22.937500000000004
"[6.0, 1996, 05]",6.0,1996,5.0,26.078125000000007,31.899999999999995,20.25625
"[6.0, 1996, 06]",6.0,1996,6.0,26.06875000000001,32.5,19.637500000000003
"[6.0, 1996, 07]",6.0,1996,7.0,24.1125,31.09375,17.13125
"[6.0, 1996, 08]",6.0,1996,8.0,25.596875,31.8625,19.331250000000004
"[6.0, 1996, 09]",6.0,1996,9.0,27.312499999999996,33.724999999999994,20.900000000000002
"[6.0, 1996, 10]",6.0,1996,10.0,28.956250000000004,34.45625,23.45625
"[6.0, 1996, 11]",6.0,1996,11.0,29.296875,34.581250000000004,24.012500000000003
"[6.0, 1996, 12]",6.0,1996,12.0,28.150000000000006,32.493750000000006,23.806250000000002
"[7.0, 1996, 01]",7.0,1996,1.0,27.319831994156324,31.9418188458729,22.697845142439736
"[7.0, 1996, 02]",7.0,1996,2.0,26.928560993425855,31.487253469685903,22.369868517165816
"[7.0, 1996, 03]",7.0,1996,3.0,26.893718042366686,31.181446311176035,22.60598977355734
"[7.0, 1996, 04]",7.0,1996,4.0,27.045398100803506,30.933710737764795,23.15708546384222
"[7.0, 1996, 05]",7.0,1996,5.0,26.20591672753835,29.696566837107376,22.715266617969316
"[7.0, 1996, 06]",7.0,1996,6.0,26.321000730460188,29.56048210372534,23.081519357195027
"[7.0, 1996, 07]",7.0,1996,7.0,24.422863403944483,27.52111029948868,21.32461650840029
