uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[1.0, 2015, 01]",1.0,2015,1.0,27.319781078967946,32.025645035183736,22.613917122752152
"[1.0, 2015, 02]",1.0,2015,2.0,27.686395621579365,33.26583268178264,22.106958561376075
"[1.0, 2015, 03]",1.0,2015,3.0,26.74319781078968,31.13291634089132,22.353479280688035
"[1.0, 2015, 04]",1.0,2015,4.0,25.399843627834244,30.00633307271306,20.793354182955436
"[1.0, 2015, 05]",1.0,2015,5.0,23.29620797498045,29.239562157935886,17.35285379202502
"[1.0, 2015, 06]",1.0,2015,6.0,21.42294761532447,27.23291634089132,15.612978889757624
"[1.0, 2015, 07]",1.0,2015,7.0,21.709499609069585,28.272791243158718,15.146207974980452
"[1.0, 2015, 08]",1.0,2015,8.0,22.212978889757625,28.092728694292415,16.333229085222833
"[1.0, 2015, 09]",1.0,2015,9.0,22.713291634089135,27.659812353401094,17.76677091477717
"[1.0, 2015, 10]",1.0,2015,10.0,26.41962470680219,30.739249413604377,22.099999999999998
"[1.0, 2015, 11]",1.0,2015,11.0,26.783072713057077,31.678811571540265,21.887333854573892
"[1.0, 2015, 12]",1.0,2015,12.0,27.726270523846754,32.99874902267397,22.453792025019542
"[2.0, 2015, 01]",2.0,2015,1.0,27.124881606364838,31.10452737260844,23.145235840121234
"[2.0, 2015, 02]",2.0,2015,2.0,27.03938245879901,31.044572835764345,23.034192081833684
"[2.0, 2015, 03]",2.0,2015,3.0,27.38626633832164,31.243057397234328,23.52947527940898
"[2.0, 2015, 04]",2.0,2015,4.0,26.3776946391362,30.666186777798835,22.089202500473572
"[2.0, 2015, 05]",2.0,2015,5.0,24.54819094525478,29.829645766243605,19.266736124265957
"[2.0, 2015, 06]",2.0,2015,6.0,22.853116120477367,27.834059480962303,17.87217275999242
"[2.0, 2015, 07]",2.0,2015,7.0,22.56398939193029,27.297651070278462,17.83032771358212
"[2.0, 2015, 08]",2.0,2015,8.0,23.263099071793903,28.629645766243602,17.8965523773442
"[2.0, 2015, 09]",2.0,2015,9.0,24.312142451221828,28.865826861147944,19.758458041295693
"[2.0, 2015, 10]",2.0,2015,10.0,27.381303277135828,32.09304792574351,22.669558628528126
"[2.0, 2015, 11]",2.0,2015,11.0,27.742290206478494,32.693559386247394,22.791021026709604
"[2.0, 2015, 12]",2.0,2015,12.0,28.700975563553705,33.710513354802046,23.69143777230536
"[3.0, 2015, 01]",3.0,2015,1.0,27.08843669250647,31.47454780361758,22.702325581395357
"[3.0, 2015, 02]",3.0,2015,2.0,26.8264534883721,31.005490956072364,22.647416020671837
"[3.0, 2015, 03]",3.0,2015,3.0,27.416311369509042,31.50083979328166,23.33178294573644
"[3.0, 2015, 04]",3.0,2015,4.0,26.24392764857881,30.731782945736434,21.756072351421196
"[3.0, 2015, 05]",3.0,2015,5.0,24.188178294573646,29.65956072351422,18.71679586563308
"[3.0, 2015, 06]",3.0,2015,6.0,22.47735788113695,27.62894056847545,17.325775193798446
"[3.0, 2015, 07]",3.0,2015,7.0,22.15206718346254,27.089341085271318,17.214793281653748
"[3.0, 2015, 08]",3.0,2015,8.0,23.022286821705432,28.803488372093028,17.24108527131783
"[3.0, 2015, 09]",3.0,2015,9.0,24.553746770025842,29.98636950904393,19.121124031007753
"[3.0, 2015, 10]",3.0,2015,10.0,27.378036175710598,33.039276485788115,21.716795865633078
"[3.0, 2015, 11]",3.0,2015,11.0,27.957655038759686,33.58320413436693,22.33210594315246
"[3.0, 2015, 12]",3.0,2015,12.0,28.87412790697674,34.35142118863049,23.396834625323002
"[4.0, 2015, 01]",4.0,2015,1.0,29.393030671120563,34.16626176738536,24.61979957485575
"[4.0, 2015, 02]",4.0,2015,2.0,30.678196173701796,36.84582447616156,24.510567871242028
"[4.0, 2015, 03]",4.0,2015,3.0,30.523337382326147,36.28882477983602,24.757849984816282
"[4.0, 2015, 04]",4.0,2015,4.0,28.341254175523844,34.63543880959611,22.047069541451563
"[4.0, 2015, 05]",4.0,2015,5.0,25.44500455511692,32.92317036137261,17.966838748861218
"[4.0, 2015, 06]",4.0,2015,6.0,24.748876404494382,31.70941390829031,17.788338900698452
"[4.0, 2015, 07]",4.0,2015,7.0,23.328378378378382,30.65933798967507,15.99741876708169
"[4.0, 2015, 08]",4.0,2015,8.0,25.025098694199823,32.75639234740358,17.29380504099605
"[4.0, 2015, 09]",4.0,2015,9.0,27.75496507743699,35.35936835712117,20.15056179775281
"[4.0, 2015, 10]",4.0,2015,10.0,30.880989978742786,38.0959307622229,23.666049195262673
"[4.0, 2015, 11]",4.0,2015,11.0,32.269283328272095,38.94691770422108,25.59164895232311
"[4.0, 2015, 12]",4.0,2015,12.0,30.88949286365017,36.58949286365017,25.189492863650162
"[5.0, 2015, 01]",5.0,2015,1.0,27.78118201595358,31.384155184916594,24.17820884699057
"[5.0, 2015, 02]",5.0,2015,2.0,28.629858593183467,33.41849166062363,23.841225525743287
"[5.0, 2015, 03]",5.0,2015,3.0,28.87363125453227,33.51386874546772,24.233393763596805
"[5.0, 2015, 04]",5.0,2015,4.0,28.12358593183467,33.78283176214649,22.46434010152284
"[5.0, 2015, 05]",5.0,2015,5.0,26.050661711385064,32.639630166787526,19.461693255982603
"[5.0, 2015, 06]",5.0,2015,6.0,25.657596084118918,32.72311457577956,18.5920775924583
"[5.0, 2015, 07]",5.0,2015,7.0,24.09056381435823,31.954332849891227,16.226794778825237
"[5.0, 2015, 08]",5.0,2015,8.0,24.75173132704858,32.522063089195065,16.981399564902105
"[5.0, 2015, 09]",5.0,2015,9.0,26.950181290790418,34.09688179840464,19.80348078317622
"[5.0, 2015, 10]",5.0,2015,10.0,28.675843002175487,35.02188179840464,22.32980420594633
"[5.0, 2015, 11]",5.0,2015,11.0,30.10995286439449,35.50170413343002,24.718201595358956
"[5.0, 2015, 12]",5.0,2015,12.0,28.567974981870922,32.961040609137044,24.174909354604782
"[6.0, 2015, 01]",6.0,2015,1.0,27.737499999999997,31.349999999999998,24.125000000000004
"[6.0, 2015, 02]",6.0,2015,2.0,28.640625,33.418749999999996,23.8625
"[6.0, 2015, 03]",6.0,2015,3.0,28.95625,33.4625,24.449999999999996
"[6.0, 2015, 04]",6.0,2015,4.0,28.053124999999998,33.59375,22.512500000000003
"[6.0, 2015, 05]",6.0,2015,5.0,26.106250000000003,32.4,19.812500000000004
"[6.0, 2015, 06]",6.0,2015,6.0,25.665625000000002,32.7125,18.618750000000002
"[6.0, 2015, 07]",6.0,2015,7.0,23.834374999999998,31.793750000000003,15.875
"[6.0, 2015, 08]",6.0,2015,8.0,24.634375000000002,32.29375,16.974999999999998
"[6.0, 2015, 09]",6.0,2015,9.0,26.95625,34.118750000000006,19.79375
"[6.0, 2015, 10]",6.0,2015,10.0,28.69375,35.143750000000004,22.24375
"[6.0, 2015, 11]",6.0,2015,11.0,30.106250000000006,34.95,25.2625
"[6.0, 2015, 12]",6.0,2015,12.0,28.484374999999996,32.93125,24.037499999999998
"[7.0, 2015, 01]",7.0,2015,1.0,27.008181154127097,31.629035792549306,22.387326515704896
"[7.0, 2015, 02]",7.0,2015,2.0,26.923319941563175,31.482578524470416,22.364061358655952
"[7.0, 2015, 03]",7.0,2015,3.0,26.442512783053324,30.713951789627465,22.17107377647918
"[7.0, 2015, 04]",7.0,2015,4.0,26.69830168005843,30.561614317019718,22.834989043097156
"[7.0, 2015, 05]",7.0,2015,5.0,26.350091307523737,29.83608473338203,22.86409788166545
"[7.0, 2015, 06]",7.0,2015,6.0,25.983217677136594,29.20701241782323,22.759422936449965
"[7.0, 2015, 07]",7.0,2015,7.0,24.89956172388605,27.980387143900657,21.81873630387144
"[7.0, 2015, 08]",7.0,2015,8.0,24.75648283418554,28.03261504747991,21.480350620891162
"[7.0, 2015, 09]",7.0,2015,9.0,25.418699780861942,29.052410518626736,21.784989043097152
"[7.0, 2015, 10]",7.0,2015,10.0,25.403597516435354,29.566398831263697,21.24079620160701
"[7.0, 2015, 11]",7.0,2015,11.0,27.64369978086194,32.44196493791088,22.845434623813
"[7.0, 2015, 12]",7.0,2015,12.0,27.956482834185536,32.727976625273925,23.18498904309715
"[8.0, 2015, 01]",8.0,2015,1.0,27.4149047672715,31.24281528231715,23.58699425222587
"[8.0, 2015, 02]",8.0,2015,2.0,26.895762425335292,30.632829933506162,23.15869491716444
"[8.0, 2015, 03]",8.0,2015,3.0,27.35650287388708,31.165659867012298,23.547345880761863
"[8.0, 2015, 04]",8.0,2015,4.0,27.773137608475153,31.573210864420172,23.973064352530148
"[8.0, 2015, 05]",8.0,2015,5.0,26.571700664938593,30.550219767835024,22.593181562042155
"[8.0, 2015, 06]",8.0,2015,6.0,26.492815282317164,30.204384086554743,22.781246478079577
"[8.0, 2015, 07]",8.0,2015,7.0,25.315806378902284,28.981686013749584,21.64992674405501
"[8.0, 2015, 08]",8.0,2015,8.0,25.067316578383867,28.81315225966415,21.321480897103577
"[8.0, 2015, 09]",8.0,2015,9.0,26.9158796348473,31.430542093993022,22.40121717570156
"[8.0, 2015, 10]",8.0,2015,10.0,27.285168488673506,31.757477741462857,22.812859235884147
"[8.0, 2015, 11]",8.0,2015,11.0,28.517925166234644,33.00740448551787,24.028445846951424
"[8.0, 2015, 12]",8.0,2015,12.0,29.13251436943536,33.206187309816315,25.058841429054446
"[9.0, 2015, 01]",9.0,2015,1.0,27.248801579095787,31.113713694896152,23.3838894632954
"[9.0, 2015, 02]",9.0,2015,2.0,26.798049628724495,30.53617821223798,23.059921045211016
"[9.0, 2015, 03]",9.0,2015,3.0,27.28846226149073,31.064940313939285,23.5119842090422
"[9.0, 2015, 04]",9.0,2015,4.0,27.695986464893313,31.588908732023686,23.80306419776295
"[9.0, 2015, 05]",9.0,2015,5.0,26.617280759469878,30.596935802237052,22.637625716702708
"[9.0, 2015, 06]",9.0,2015,6.0,26.35284331234138,30.116110536704586,22.589576087978198
"[9.0, 2015, 07]",9.0,2015,7.0,25.18812858351349,28.86338001691887,21.512877150108093
"[9.0, 2015, 08]",9.0,2015,8.0,25.044120688034575,28.840971895854864,21.247269480214303
"[9.0, 2015, 09]",9.0,2015,9.0,27.046465833255,31.632503054798395,22.460428611711624
"[9.0, 2015, 10]",9.0,2015,10.0,27.48450982235171,32.06934862299089,22.899671021712564
"[9.0, 2015, 11]",9.0,2015,11.0,28.457749788513958,33.01220979415357,23.903289782874317
"[9.0, 2015, 12]",9.0,2015,12.0,29.173023780430498,33.31070589341103,25.035341667449956
"[10.0, 2015, 01]",10.0,2015,1.0,27.48436756644947,31.262850346468074,23.70588478643086
"[10.0, 2015, 02]",10.0,2015,2.0,26.95005171165581,30.65092563863896,23.24917778467268
"[10.0, 2015, 03]",10.0,2015,3.0,27.396447409246036,31.180752921708557,23.612141896783534
"[10.0, 2015, 04]",10.0,2015,4.0,27.823730478849924,31.576202295997508,24.07125866170234
"[10.0, 2015, 05]",10.0,2015,5.0,26.653723239218124,30.593008584134868,22.714437894301383
"[10.0, 2015, 06]",10.0,2015,6.0,26.639595614851583,30.277071051815057,23.002120177888088
"[10.0, 2015, 07]",10.0,2015,7.0,25.40613817354432,29.037956355362496,21.774319991726127
"[10.0, 2015, 08]",10.0,2015,8.0,25.141421036301587,28.843344709897593,21.439497362705545
"[10.0, 2015, 09]",10.0,2015,9.0,26.92828110456097,31.35454545454545,22.502016754576477
"[10.0, 2015, 10]",10.0,2015,10.0,27.217876719412548,31.61131451029062,22.824438928534477
"[10.0, 2015, 11]",10.0,2015,11.0,28.477624366532208,32.89896576688385,24.05628296618057
"[10.0, 2015, 12]",10.0,2015,12.0,29.053718068052532,33.09220188230425,25.0152342538008
"[11.0, 2015, 01]",11.0,2015,1.0,26.756872749099653,31.96224489795919,21.5515006002401
"[11.0, 2015, 02]",11.0,2015,2.0,26.573709483793518,31.503565426170482,21.64385354141658
"[11.0, 2015, 03]",11.0,2015,3.0,25.97344537815127,30.77626650660264,21.170624249699898
"[11.0, 2015, 04]",11.0,2015,4.0,25.818733493397374,30.122184873949593,21.51528211284514
"[11.0, 2015, 05]",11.0,2015,5.0,25.398955582232897,29.29003601440576,21.507875150060023
"[11.0, 2015, 06]",11.0,2015,6.0,25.309423769507806,28.901524609843936,21.71732292917168
"[11.0, 2015, 07]",11.0,2015,7.0,23.652268907563037,26.80278511404563,20.501752701080438
"[11.0, 2015, 08]",11.0,2015,8.0,23.918097238895562,27.41504201680672,20.421152460984402
"[11.0, 2015, 09]",11.0,2015,9.0,24.305450180072036,28.076758703481406,20.53414165666268
"[11.0, 2015, 10]",11.0,2015,10.0,24.392190876350547,28.740036014405778,20.044345738295323
"[11.0, 2015, 11]",11.0,2015,11.0,27.155102040816328,32.11352941176473,22.196674669867956
"[11.0, 2015, 12]",11.0,2015,12.0,27.732400960384165,32.72450180072029,22.74030012004803
"[12.0, 2015, 01]",12.0,2015,1.0,26.917176482272325,32.01898897606514,21.81536398847948
