uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[1.0, 2009, 01]",1.0,2009,1.0,28.090359237536656,33.11781524926687,23.06290322580645
"[1.0, 2009, 02]",1.0,2009,2.0,27.47478005865102,31.930571847507338,23.018988269794722
"[1.0, 2009, 03]",1.0,2009,3.0,26.171664222873897,30.56825513196481,21.775073313782997
"[1.0, 2009, 04]",1.0,2009,4.0,24.693621700879763,30.281011730205275,19.106231671554255
"[1.0, 2009, 05]",1.0,2009,5.0,22.92463343108505,28.624633431085044,17.224633431085042
"[1.0, 2009, 06]",1.0,2009,6.0,21.608907624633435,28.2308651026393,14.986950146627567
"[1.0, 2009, 07]",1.0,2009,7.0,19.896737536656893,25.206231671554246,14.587243401759528
"[1.0, 2009, 08]",1.0,2009,8.0,21.43071847507332,26.90535190615836,15.95608504398827
"[1.0, 2009, 09]",1.0,2009,9.0,23.665285923753668,28.55579178885631,18.77478005865103
"[1.0, 2009, 10]",1.0,2009,10.0,25.36854838709678,29.95549853372435,20.781598240469208
"[1.0, 2009, 11]",1.0,2009,11.0,25.71840175953079,30.292595307917885,21.1442082111437
"[1.0, 2009, 12]",1.0,2009,12.0,27.721664222873898,32.14897360703812,23.294354838709683
"[2.0, 2009, 01]",2.0,2009,1.0,28.4824872134874,33.34733851108164,23.61763591589316
"[2.0, 2009, 02]",2.0,2009,2.0,28.71959651449139,33.1350255730252,24.304167455957565
"[2.0, 2009, 03]",2.0,2009,3.0,26.988170107974994,30.951695396855456,23.02464481909453
"[2.0, 2009, 04]",2.0,2009,4.0,25.677997726842204,30.48230725516196,20.873688198522448
"[2.0, 2009, 05]",2.0,2009,5.0,24.169208183368063,28.959840878954346,19.378575487781777
"[2.0, 2009, 06]",2.0,2009,6.0,22.671954915703733,28.561469975374127,16.78243985603334
"[2.0, 2009, 07]",2.0,2009,7.0,21.417579086948283,25.964197764728166,16.870960409168404
"[2.0, 2009, 08]",2.0,2009,8.0,22.710380753930668,27.12686114794469,18.293900359916655
"[2.0, 2009, 09]",2.0,2009,9.0,24.687412388709976,29.20507671907559,20.169748058344386
"[2.0, 2009, 10]",2.0,2009,10.0,26.508960030308774,30.73815116499337,22.279768895624166
"[2.0, 2009, 11]",2.0,2009,11.0,26.858079181663197,31.74404243227884,21.972115931047544
"[2.0, 2009, 12]",2.0,2009,12.0,28.540945254783104,32.70289827618867,24.37899223337753
"[3.0, 2009, 01]",3.0,2009,1.0,28.47861757105943,33.79767441860465,23.159560723514215
"[3.0, 2009, 02]",3.0,2009,2.0,28.596253229974167,33.26705426356589,23.925452196382427
"[3.0, 2009, 03]",3.0,2009,3.0,27.085529715762284,31.31182170542635,22.859237726098197
"[3.0, 2009, 04]",3.0,2009,4.0,25.56040051679587,30.393346253229968,20.727454780361757
"[3.0, 2009, 05]",3.0,2009,5.0,23.855232558139534,28.649741602067184,19.060723514211883
"[3.0, 2009, 06]",3.0,2009,6.0,22.204812661498707,28.185012919896646,16.224612403100778
"[3.0, 2009, 07]",3.0,2009,7.0,21.010303617571065,25.955232558139528,16.065374677002588
"[3.0, 2009, 08]",3.0,2009,8.0,22.499741602067186,27.066214470284237,17.93326873385013
"[3.0, 2009, 09]",3.0,2009,9.0,24.82903746770026,30.236950904392764,19.421124031007754
"[3.0, 2009, 10]",3.0,2009,10.0,26.506653746770024,31.319638242894065,21.693669250645996
"[3.0, 2009, 11]",3.0,2009,11.0,27.1125645994832,32.72164082687338,21.50348837209302
"[3.0, 2009, 12]",3.0,2009,12.0,28.471963824289407,33.06905684754523,23.874870801033595
"[4.0, 2009, 01]",4.0,2009,1.0,30.603771760154736,35.85377176015475,25.35377176015474
"[4.0, 2009, 02]",4.0,2009,2.0,29.301547388781437,34.33539651837525,24.267698259187625
"[4.0, 2009, 03]",4.0,2009,3.0,30.465667311412,36.915667311411994,24.015667311411995
"[4.0, 2009, 04]",4.0,2009,4.0,29.53897485493231,35.945261121856866,23.132688588007742
"[4.0, 2009, 05]",4.0,2009,5.0,25.90444874274662,32.26634429400387,19.542553191489365
"[4.0, 2009, 06]",4.0,2009,6.0,24.334042553191498,31.425531914893618,17.242553191489364
"[4.0, 2009, 07]",4.0,2009,7.0,23.762282398452612,31.114313346228244,16.41025145067698
"[4.0, 2009, 08]",4.0,2009,8.0,25.954642166344303,33.86092843326887,18.048355899419732
