uid,grid_id,year,month,srad_mj_m2_day
"[1.0, 2017, 01]",1.0,2017,1.0,2063.983870967742
"[1.0, 2017, 02]",1.0,2017,2.0,2414.100439882698
"[1.0, 2017, 03]",1.0,2017,3.0,2197.00219941349
"[1.0, 2017, 04]",1.0,2017,4.0,1906.9046920821115
"[1.0, 2017, 05]",1.0,2017,5.0,1707.8372434017595
"[1.0, 2017, 06]",1.0,2017,6.0,1469.4120234604106
"[1.0, 2017, 07]",1.0,2017,7.0,1490.6202346041055
"[1.0, 2017, 08]",1.0,2017,8.0,1850.934017595308
"[1.0, 2017, 09]",1.0,2017,9.0,2196.975806451613
"[1.0, 2017, 10]",1.0,2017,10.0,2417.4112903225805
"[1.0, 2017, 11]",1.0,2017,11.0,2215.208944281525
"[1.0, 2017, 12]",1.0,2017,12.0,2430.782258064516
"[2.0, 2017, 01]",2.0,2017,1.0,2106.8349920382166
"[2.0, 2017, 02]",2.0,2017,2.0,2448.8708200636943
"[2.0, 2017, 03]",2.0,2017,3.0,2078.369824840764
"[2.0, 2017, 04]",2.0,2017,4.0,1874.0593152866238
"[2.0, 2017, 05]",2.0,2017,5.0,1632.8300159235669
"[2.0, 2017, 06]",2.0,2017,6.0,1421.3381767515923
"[2.0, 2017, 07]",2.0,2017,7.0,1452.5822054140124
"[2.0, 2017, 08]",2.0,2017,8.0,1871.2024283439491
"[2.0, 2017, 09]",2.0,2017,9.0,2147.8437499999995
"[2.0, 2017, 10]",2.0,2017,10.0,2522.604498407643
"[2.0, 2017, 11]",2.0,2017,11.0,2201.2161624203823
"[2.0, 2017, 12]",2.0,2017,12.0,2172.120222929936
"[3.0, 2017, 01]",3.0,2017,1.0,2151.1073137388926
"[3.0, 2017, 02]",3.0,2017,2.0,2449.1667805878337
"[3.0, 2017, 03]",3.0,2017,3.0,2048.2385509227615
"[3.0, 2017, 04]",3.0,2017,4.0,1866.6664388243337
"[3.0, 2017, 05]",3.0,2017,5.0,1621.373889268626
"[3.0, 2017, 06]",3.0,2017,6.0,1395.7505126452495
"[3.0, 2017, 07]",3.0,2017,7.0,1454.911141490089
"[3.0, 2017, 08]",3.0,2017,8.0,1843.326042378674
"[3.0, 2017, 09]",3.0,2017,9.0,2167.39029391661
"[3.0, 2017, 10]",3.0,2017,10.0,2606.0840738209163
"[3.0, 2017, 11]",3.0,2017,11.0,2295.874914559125
"[3.0, 2017, 12]",3.0,2017,12.0,2142.8127136021876
"[4.0, 2017, 01]",4.0,2017,1.0,2002.7465437788019
"[4.0, 2017, 02]",4.0,2017,2.0,2260.575378538512
"[4.0, 2017, 03]",4.0,2017,3.0,2515.823568136932
"[4.0, 2017, 04]",4.0,2017,4.0,2501.8025016458196
"[4.0, 2017, 05]",4.0,2017,5.0,2295.832126398947
"[4.0, 2017, 06]",4.0,2017,6.0,2155.5105332455564
"[4.0, 2017, 07]",4.0,2017,7.0,2172.9891375905204
"[4.0, 2017, 08]",4.0,2017,8.0,2604.154707044108
"[4.0, 2017, 09]",4.0,2017,9.0,2914.7442396313363
"[4.0, 2017, 10]",4.0,2017,10.0,2928.329822251481
"[4.0, 2017, 11]",4.0,2017,11.0,2843.482883475971
"[4.0, 2017, 12]",4.0,2017,12.0,2735.6698485845955
"[5.0, 2017, 01]",5.0,2017,1.0,2018.5503988397386
"[5.0, 2017, 02]",5.0,2017,2.0,2099.8682015953586
"[5.0, 2017, 03]",5.0,2017,3.0,2349.0926395939086
"[5.0, 2017, 04]",5.0,2017,4.0,2217.1033357505435
"[5.0, 2017, 05]",5.0,2017,5.0,2287.3159898477156
"[5.0, 2017, 06]",5.0,2017,6.0,2170.142494561276
"[5.0, 2017, 07]",5.0,2017,7.0,2247.5563814358234
"[5.0, 2017, 08]",5.0,2017,8.0,2550.0538433647566
"[5.0, 2017, 09]",5.0,2017,9.0,2732.7596084118927
"[5.0, 2017, 10]",5.0,2017,10.0,2664.116569978245
"[5.0, 2017, 11]",5.0,2017,11.0,2694.904278462654
"[5.0, 2017, 12]",5.0,2017,12.0,2660.5942712110223
"[6.0, 2017, 01]",6.0,2017,1.0,2062.9411764705883
"[6.0, 2017, 02]",6.0,2017,2.0,2103.705882352941
"[6.0, 2017, 03]",6.0,2017,3.0,2340.235294117647
"[6.0, 2017, 04]",6.0,2017,4.0,2163.8823529411766
"[6.0, 2017, 05]",6.0,2017,5.0,2282.705882352941
"[6.0, 2017, 06]",6.0,2017,6.0,2154.1176470588234
"[6.0, 2017, 07]",6.0,2017,7.0,2233.1176470588234
"[6.0, 2017, 08]",6.0,2017,8.0,2543.705882352941
"[6.0, 2017, 09]",6.0,2017,9.0,2727.529411764706
"[6.0, 2017, 10]",6.0,2017,10.0,2650.6470588235293
"[6.0, 2017, 11]",6.0,2017,11.0,2713.0
"[6.0, 2017, 12]",6.0,2017,12.0,2666.823529411765
"[7.0, 2017, 01]",7.0,2017,1.0,1779.5566106647188
"[7.0, 2017, 02]",7.0,2017,2.0,1976.5131482834183
"[7.0, 2017, 03]",7.0,2017,3.0,1782.8254200146089
"[7.0, 2017, 04]",7.0,2017,4.0,1478.0292184075968
"[7.0, 2017, 05]",7.0,2017,5.0,1670.7585829072314
"[7.0, 2017, 06]",7.0,2017,6.0,1410.518626734843
"[7.0, 2017, 07]",7.0,2017,7.0,1426.1373265157047
"[7.0, 2017, 08]",7.0,2017,8.0,1730.9138056975894
"[7.0, 2017, 09]",7.0,2017,9.0,1728.0540540540537
"[7.0, 2017, 10]",7.0,2017,10.0,2006.038349159971
"[7.0, 2017, 11]",7.0,2017,11.0,2014.1771365960553
"[7.0, 2017, 12]",7.0,2017,12.0,2169.9032140248355
"[8.0, 2017, 01]",8.0,2017,1.0,2265.0958459039234
"[8.0, 2017, 02]",8.0,2017,2.0,2070.7451844975644
"[8.0, 2017, 03]",8.0,2017,3.0,2161.6900673009986
"[8.0, 2017, 04]",8.0,2017,4.0,1903.1134834068234
"[8.0, 2017, 05]",8.0,2017,5.0,1989.955558134139
"[8.0, 2017, 06]",8.0,2017,6.0,1744.0595265722914
"[8.0, 2017, 07]",8.0,2017,7.0,1692.9867718728249
"[8.0, 2017, 08]",8.0,2017,8.0,2109.6762589928067
"[8.0, 2017, 09]",8.0,2017,9.0,1981.6358783940595
"[8.0, 2017, 10]",8.0,2017,10.0,2306.768507774427
"[8.0, 2017, 11]",8.0,2017,11.0,2198.3249013692284
"[8.0, 2017, 12]",8.0,2017,12.0,2453.1120909723845
"[9.0, 2017, 01]",9.0,2017,1.0,2285.999436037221
"[9.0, 2017, 02]",9.0,2017,2.0,2090.4985430961556
"[9.0, 2017, 03]",9.0,2017,3.0,2154.2551931572516
"[9.0, 2017, 04]",9.0,2017,4.0,1911.559545070025
"[9.0, 2017, 05]",9.0,2017,5.0,2001.3231506720554
"[9.0, 2017, 06]",9.0,2017,6.0,1769.9330764169563
"[9.0, 2017, 07]",9.0,2017,7.0,1689.5237334335932
"[9.0, 2017, 08]",9.0,2017,8.0,2099.9562928846694
"[9.0, 2017, 09]",9.0,2017,9.0,1951.936554187423
"[9.0, 2017, 10]",9.0,2017,10.0,2298.973211768023
"[9.0, 2017, 11]",9.0,2017,11.0,2255.4472224833157
"[9.0, 2017, 12]",9.0,2017,12.0,2481.829965222295
"[10.0, 2017, 01]",10.0,2017,1.0,2269.0772572137753
"[10.0, 2017, 02]",10.0,2017,2.0,2084.345433860791
"[10.0, 2017, 03]",10.0,2017,3.0,2169.5454545454545
"[10.0, 2017, 04]",10.0,2017,4.0,1891.994104871237
"[10.0, 2017, 05]",10.0,2017,5.0,1974.526424656117
"[10.0, 2017, 06]",10.0,2017,6.0,1724.6152652807937
"[10.0, 2017, 07]",10.0,2017,7.0,1682.9025752404586
"[10.0, 2017, 08]",10.0,2017,8.0,2110.260626745268
"[10.0, 2017, 09]",10.0,2017,9.0,2000.852104664391
"[10.0, 2017, 10]",10.0,2017,10.0,2299.753645671734
"[10.0, 2017, 11]",10.0,2017,11.0,2173.7037956355357
"[10.0, 2017, 12]",10.0,2017,12.0,2443.6865239424956
"[11.0, 2017, 01]",11.0,2017,1.0,1605.5213685474193
"[11.0, 2017, 02]",11.0,2017,2.0,1864.9366146458585
"[11.0, 2017, 03]",11.0,2017,3.0,1677.2918367346945
"[11.0, 2017, 04]",11.0,2017,4.0,1457.4370948379355
"[11.0, 2017, 05]",11.0,2017,5.0,1675.9033613445383
"[11.0, 2017, 06]",11.0,2017,6.0,1413.6713085234098
"[11.0, 2017, 07]",11.0,2017,7.0,1354.0180072028816
"[11.0, 2017, 08]",11.0,2017,8.0,1573.317527010805
"[11.0, 2017, 09]",11.0,2017,9.0,1679.2182472989202
"[11.0, 2017, 10]",11.0,2017,10.0,1989.5833133253304
"[11.0, 2017, 11]",11.0,2017,11.0,1929.7189675870354
"[11.0, 2017, 12]",11.0,2017,12.0,1963.1153661464596
"[12.0, 2017, 01]",12.0,2017,1.0,1583.8458635415636
"[12.0, 2017, 02]",12.0,2017,2.0,1845.9207468467575
"[12.0, 2017, 03]",12.0,2017,3.0,1701.3034064951828
"[12.0, 2017, 04]",12.0,2017,4.0,1454.9974178170623
"[12.0, 2017, 05]",12.0,2017,5.0,1681.4480087396958
"[12.0, 2017, 06]",12.0,2017,6.0,1462.596881517529
"[12.0, 2017, 07]",12.0,2017,7.0,1378.6263779918565
"[12.0, 2017, 08]",12.0,2017,8.0,1607.0929585857582
"[12.0, 2017, 09]",12.0,2017,9.0,1755.3103585261697
"[12.0, 2017, 10]",12.0,2017,10.0,2028.5328235177285
"[12.0, 2017, 11]",12.0,2017,11.0,1902.413347899494
"[12.0, 2017, 12]",12.0,2017,12.0,1946.0816367067232
"[13.0, 2017, 01]",13.0,2017,1.0,2190.9889685603976
"[13.0, 2017, 02]",13.0,2017,2.0,2218.714561500276
"[13.0, 2017, 03]",13.0,2017,3.0,2192.991450634308
"[13.0, 2017, 04]",13.0,2017,4.0,1820.1897407611696
"[13.0, 2017, 05]",13.0,2017,5.0,1704.6599558742416
"[13.0, 2017, 06]",13.0,2017,6.0,1424.6817429674575
"[13.0, 2017, 07]",13.0,2017,7.0,1466.8863761720904
