uid,grid_id,year,month,srad_mj_m2_day
"[1.0, 2019, 01]",1.0,2019,1.0,2074.776392961877
"[1.0, 2019, 02]",1.0,2019,2.0,2470.4831378299123
"[1.0, 2019, 03]",1.0,2019,3.0,1957.6818181818182
"[1.0, 2019, 04]",1.0,2019,4.0,1853.799853372434
"[1.0, 2019, 05]",1.0,2019,5.0,1683.8335777126101
"[1.0, 2019, 06]",1.0,2019,6.0,1410.326246334311
"[1.0, 2019, 07]",1.0,2019,7.0,1636.1906158357772
"[1.0, 2019, 08]",1.0,2019,8.0,1875.9699413489736
"[1.0, 2019, 09]",1.0,2019,9.0,2177.5102639296188
"[1.0, 2019, 10]",1.0,2019,10.0,2356.5124633431087
"[1.0, 2019, 11]",1.0,2019,11.0,2611.2639296187685
"[1.0, 2019, 12]",1.0,2019,12.0,2558.574780058651
"[2.0, 2019, 01]",2.0,2019,1.0,1994.275620382648
"[2.0, 2019, 02]",2.0,2019,2.0,2556.7916272021216
"[2.0, 2019, 03]",2.0,2019,3.0,1699.5072930479255
"[2.0, 2019, 04]",2.0,2019,4.0,1883.3440045463158
"[2.0, 2019, 05]",2.0,2019,5.0,1667.0986929342675
"[2.0, 2019, 06]",2.0,2019,6.0,1335.3269558628529
"[2.0, 2019, 07]",2.0,2019,7.0,1600.4722485319191
"[2.0, 2019, 08]",2.0,2019,8.0,1885.1621519227126
"[2.0, 2019, 09]",2.0,2019,9.0,2219.2718317863228
"[2.0, 2019, 10]",2.0,2019,10.0,2500.3756393256294
"[2.0, 2019, 11]",2.0,2019,11.0,2337.847130138284
"[2.0, 2019, 12]",2.0,2019,12.0,2464.710551240765
"[3.0, 2019, 01]",3.0,2019,1.0,1997.6698564593305
"[3.0, 2019, 02]",3.0,2019,2.0,2549.92002734108
"[3.0, 2019, 03]",3.0,2019,3.0,1592.9576213260425
"[3.0, 2019, 04]",3.0,2019,4.0,1881.0963773069036
"[3.0, 2019, 05]",3.0,2019,5.0,1613.641148325359
"[3.0, 2019, 06]",3.0,2019,6.0,1319.2365003417635
"[3.0, 2019, 07]",3.0,2019,7.0,1579.444292549556
"[3.0, 2019, 08]",3.0,2019,8.0,1915.2173615857826
"[3.0, 2019, 09]",3.0,2019,9.0,2242.7491455912514
"[3.0, 2019, 10]",3.0,2019,10.0,2550.3424470266573
"[3.0, 2019, 11]",3.0,2019,11.0,2365.3807245386192
"[3.0, 2019, 12]",3.0,2019,12.0,2457.5659603554345
"[4.0, 2019, 01]",4.0,2019,1.0,2659.753273203375
"[4.0, 2019, 02]",4.0,2019,2.0,2957.6130346232176
"[4.0, 2019, 03]",4.0,2019,3.0,2716.4890893220822
"[4.0, 2019, 04]",4.0,2019,4.0,2240.607797497818
"[4.0, 2019, 05]",4.0,2019,5.0,2225.188536514402
"[4.0, 2019, 06]",4.0,2019,6.0,2155.7614198428864
"[4.0, 2019, 07]",4.0,2019,7.0,2296.336048879837
"[4.0, 2019, 08]",4.0,2019,8.0,2601.578993308118
"[4.0, 2019, 09]",4.0,2019,9.0,2923.617107942974
"[4.0, 2019, 10]",4.0,2019,10.0,3082.2956066336924
"[4.0, 2019, 11]",4.0,2019,11.0,2971.8516147803316
"[4.0, 2019, 12]",4.0,2019,12.0,2914.4742508001164
"[5.0, 2019, 01]",5.0,2019,1.0,2104.2465554749815
"[5.0, 2019, 02]",5.0,2019,2.0,2522.8745467730237
"[5.0, 2019, 03]",5.0,2019,3.0,2433.8770848440895
"[5.0, 2019, 04]",5.0,2019,4.0,2228.444706308919
"[5.0, 2019, 05]",5.0,2019,5.0,2092.6580855692528
"[5.0, 2019, 06]",5.0,2019,6.0,2183.3089195068887
"[5.0, 2019, 07]",5.0,2019,7.0,2328.464829586657
"[5.0, 2019, 08]",5.0,2019,8.0,2546.2541696881794
"[5.0, 2019, 09]",5.0,2019,9.0,2848.422226250906
"[5.0, 2019, 10]",5.0,2019,10.0,2890.587382160986
"[5.0, 2019, 11]",5.0,2019,11.0,2811.9430746918056
"[5.0, 2019, 12]",5.0,2019,12.0,2648.15264684554
"[6.0, 2019, 01]",6.0,2019,1.0,2030.4666666666667
"[6.0, 2019, 02]",6.0,2019,2.0,2516.0666666666666
"[6.0, 2019, 03]",6.0,2019,3.0,2405.733333333333
"[6.0, 2019, 04]",6.0,2019,4.0,2192.133333333333
"[6.0, 2019, 05]",6.0,2019,5.0,2065.5333333333333
"[6.0, 2019, 06]",6.0,2019,6.0,2152.6666666666665
"[6.0, 2019, 07]",6.0,2019,7.0,2331.4666666666667
"[6.0, 2019, 08]",6.0,2019,8.0,2521.9333333333334
"[6.0, 2019, 09]",6.0,2019,9.0,2806.266666666667
"[6.0, 2019, 10]",6.0,2019,10.0,2850.2
"[6.0, 2019, 11]",6.0,2019,11.0,2835.4
"[6.0, 2019, 12]",6.0,2019,12.0,2634.733333333333
"[7.0, 2019, 01]",7.0,2019,1.0,2026.173119065011
"[7.0, 2019, 02]",7.0,2019,2.0,2317.4390065741413
"[7.0, 2019, 03]",7.0,2019,3.0,1629.8433162892618
"[7.0, 2019, 04]",7.0,2019,4.0,1667.7936449963474
"[7.0, 2019, 05]",7.0,2019,5.0,1592.5953250547846
"[7.0, 2019, 06]",7.0,2019,6.0,1580.8276113951788
"[7.0, 2019, 07]",7.0,2019,7.0,1718.8820306793275
"[7.0, 2019, 08]",7.0,2019,8.0,1674.192476260044
"[7.0, 2019, 09]",7.0,2019,9.0,1777.188823959094
"[7.0, 2019, 10]",7.0,2019,10.0,1949.309715120526
"[7.0, 2019, 11]",7.0,2019,11.0,1933.846238130022
"[7.0, 2019, 12]",7.0,2019,12.0,2332.1490138787435
"[8.0, 2019, 01]",8.0,2019,1.0,1876.7113715766936
"[8.0, 2019, 02]",8.0,2019,2.0,2472.1119125436717
"[8.0, 2019, 03]",8.0,2019,3.0,1763.3157894736844
"[8.0, 2019, 04]",8.0,2019,4.0,2076.8495435591126
"[8.0, 2019, 05]",8.0,2019,5.0,1744.866899583005
"[8.0, 2019, 06]",8.0,2019,6.0,1696.9634847289533
"[8.0, 2019, 07]",8.0,2019,7.0,1896.8634058379355
"[8.0, 2019, 08]",8.0,2019,8.0,1728.175363462189
"[8.0, 2019, 09]",8.0,2019,9.0,2107.711146173786
"[8.0, 2019, 10]",8.0,2019,10.0,2373.6522033134233
